Processing.Method,n,n_excellent,excellence_rate,mean_score
Unknown,147,24,0.16326530612244897,82.95034013605442
Natural,236,28,0.11864406779661017,82.40419491525424
Semi-washed,53,6,0.11320754716981132,82.66773584905661
Honey,13,1,0.07692307692307693,82.66461538461537
Washed,791,44,0.05562579013906448,81.97633375474084
