,precision,recall,f1,balanced_accuracy,roc_auc,auprc
resampled training set (what the notebook looked at),0.9726477024070022,0.9769230769230769,0.9747807017543859,0.9747252747252747,0.9960475787948315,0.9966109681917164
untouched test set (reality),0.38095238095238093,0.38095238095238093,0.38095238095238093,0.6618418292427103,0.7786868051185232,0.3985075812007927
