feature,median_not_excellent,median_excellent,mean_difference,p_value
altitude_mean_meters,1310.64,1635.0,278.2479175033923,6.285794855506608e-11
Moisture,0.11,0.11,-0.014143326891459251,1.0083118341087404e-05
Category.Two.Defects,2.0,1.0,-1.5304369358984213,0.009842874365078677
Category.One.Defects,0.0,0.0,-0.23495657965519892,0.24038140493510507
